mmaf,office,mmsi,station_name,observations,latitude,longitude,location_source,matched_name,match_notes,matched,lookup_status
101,부산청,1019001,남항동방파제등대,"풍향, 풍속, 기온, 습도, 기압",34.829543,128.436992,국립해양조사원_등대,도남항 동방파제,Donam Hang,True,매칭완료
101,부산청,1019003,송정리등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
101,부산청,994401579,감천항유도등부표(랜비),"풍향, 풍속, 수온, 염분, 기온, 습도, 기압, 유향, 유속",35.0665,128.987721,국립해양조사원_등대,감천항 도등(후등),Gamcheonhang(R. Lt),True,매칭완료
101,부산청,994401583,신항유도등부표(랜비),"풍향, 풍속, 수온, 염분, 기온, 습도, 기압, 유향, 유속",35.431139,129.374138,국립해양조사원_등대,울산신항 범월갑방파제,Ulsan Sin Hang,True,매칭완료
101,부산청,994401584,부산항신항중앙C호등부표,"풍향, 풍속, 수온, 염분, 기온, 습도, 기압, 유향, 유속",35.077618,128.767994,국립해양조사원_등대,부산항 신항(전등),Busan New Port(F.Lt),True,매칭완료
101,부산청,994401587,나무섬등대,"풍향, 풍속, 기온, 습도, 기압",34.979972,128.997333,부산지방해양수산청_항로표지정보,나무섬동방등표,부산광역시 사하구 다대포항 전면해상,True,매칭완료
101,부산청,994401588,가덕도등대,"풍향, 풍속, 기온, 습도, 기압",34.989554,128.829136,국립해양조사원_등대,가덕도,Gadeokdo,True,매칭완료
101,부산청,994401594,남형제도등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
101,부산청,994401597,부산항유도등부표(랜비),"풍향, 풍속, 수온, 염분, 기온, 습도, 기압, 유향, 유속",35.127861,129.025889,국립해양조사원_등대,부산항 전등,Busan Hang,True,매칭완료
102,인천청,1021013,팔미도등대,"풍향, 풍속, 기온, 습도, 기압",37.358435,126.510674,국립해양조사원_등대,팔미도,Palmido,True,매칭완료
102,인천청,1021018,인천항석탄부두A호등대,"풍향, 풍속, 기온, 습도, 기압",37.438408,126.586727,국립해양조사원_등대,인천항 석탄부두 A호,Incheon Hang No.A,True,매칭완료
102,인천청,1021024,민어여등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
102,인천청,1029001,백령도 용기포항여객터미널,"풍향, 풍속, 기온, 습도, 기압, 시정",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
102,인천청,994401014,부도등대,"풍향, 풍속, 기온, 습도, 기압",37.149889,126.347528,국립해양조사원_등대,부도,Budo,True,매칭완료
102,인천청,994401015,선미도등대,"풍향, 풍속, 기온, 습도, 기압",37.287389,126.077444,국립해양조사원_등대,선미도,Seonmido,True,매칭완료
102,인천청,994401020,소연평도등대,"풍향, 풍속, 기온, 습도, 기압",37.604278,125.718388,국립해양조사원_등대,소연평도등대,Soyonpyongdo Lt.,True,매칭완료
102,인천청,994401021,서포리남방등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
102,인천청,994401022,북장자서등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
102,인천청,994401023,초치암등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
102,인천청,994401039,고식이등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
103,여수청,1030262,여초등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
103,여수청,1030384,여수해만중앙A호유도등부표,"풍향, 풍속, 수온, 기온, 습도, 기압, 시정, 유향, 유속",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
103,여수청,994402917,광양항등표,"풍향, 풍속, 기온, 습도, 기압, 시정",34.892942,127.76196,국립해양조사원_등대,광양항 포스코원료부두,Gwangyang Hang Posco,True,매칭완료
103,여수청,994402925,종걸도등대,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
104,울산청,1041519,울산항동방파제서단등대,"풍향, 풍속, 기온, 습도, 기압, 시정",35.466608,129.399911,국립해양조사원_등대,울산항 동방파제 서단,Ulsan Hang,True,매칭완료
105,대산청,1051101,외연도항동방파제등대,"풍향, 풍속, 시정",36.223944,126.080611,국립해양조사원_등대,외연도항 동방파제,Oeyeondo Hang,True,매칭완료
105,대산청,4402675,소녀암등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
105,대산청,4402692,신도타서등표,"풍향, 풍속, 기온, 습도, 기압",34.594501,125.95834,국립해양조사원_등대,신도,Sindo,True,매칭완료
105,대산청,4422880,대산항제2항로제3호등부표,"풍향, 풍속, 수온, 기온, 습도, 기압, 유향, 유속",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
106,평택청,994401037,무당서등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
106,평택청,994401042,입파도등대,"풍향, 풍속, 기온, 습도, 기압",37.108556,126.539667,국립해양조사원_등대,입파도등대,Ippado Lt.,True,매칭완료
107,목포청,1079001,안좌여객선터미널,"풍향, 풍속, 기온, 습도, 기압, 시정",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
107,목포청,1079002,홍도등대,"풍향, 풍속, 기온, 습도, 기압",34.711194,125.204139,국립해양조사원_등대,홍도,Hongdo,True,매칭완료
107,목포청,1079003,가거도등대,"풍향, 풍속, 기온, 습도, 기압",34.094889,125.099222,국립해양조사원_등대,가거도,Gageodo,True,매칭완료
107,목포청,1079004,계마항방파제등대,"풍향, 풍속, 기온, 습도, 기압",35.39025,126.403083,국립해양조사원_등대,계마항 방파제,Gyema Hang,True,매칭완료
107,목포청,1079005,매물도등대,"풍향, 풍속, 기온, 습도, 기압",34.522639,125.686139,국립해양조사원_등대,매물도,Maemuldo,True,매칭완료
107,목포청,1079006,우세도등대,"풍향, 풍속, 기온, 습도, 기압",34.79112,125.908092,국립해양조사원_등대,우세도,Usedo,True,매칭완료
107,목포청,1079007,대노록도등대,"풍향, 풍속, 기온, 습도, 기압",35.103111,125.987722,국립해양조사원_등대,대노록도,Daenorokdo,True,매칭완료
107,목포청,1079008,외달도등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
108,군산청,1085555,상왕등도등대,"풍향, 풍속, 기온, 습도, 기압, 시정",35.662111,126.107056,국립해양조사원_등대,상왕등도,Sangwangdeungdo,True,매칭완료
108,군산청,4406120,비응항서방파제남단등대,"풍향, 풍속, 기온, 습도, 기압, 시정",35.931944,126.526389,국립해양조사원_등대,비응항 서방파제,Bieung Hang,True,매칭완료
108,군산청,994403652,군산연도등대,"풍향, 풍속, 기온, 습도, 기압, 시정",36.081136,126.435941,국립해양조사원_등대,군산 연도,Gunsan,True,매칭완료
108,군산청,994403658,흑서등표,"풍향, 풍속, 기온, 습도, 기압, 시정",34.701583,125.441806,국립해양조사원_등대,흑서,Heukseo,True,매칭완료
108,군산청,994403661,군산흑도등표,"풍향, 풍속, 기온, 습도, 기압, 시정",36.723194,125.94625,국립해양조사원_등대,흑도,Heukdo,True,매칭완료
109,마산청,1095079,흑암등표,"풍향, 풍속, 기온, 습도, 기압",38.595006,124.956913,국립해양조사원_등대,흑암등대,Heugam Lt.,True,매칭완료
109,마산청,994401606,고암등대,"풍향, 풍속, 기온, 습도, 기압",34.497981,128.476375,국립해양조사원_등대,고암,Goam,True,매칭완료
109,마산청,994401623,고도등표,"풍향, 풍속, 기온, 습도, 기압",34.03,127.310111,국립해양조사원_등대,거문도항 고도 동방파제,Geomundo Hang,True,매칭완료
110,포항청,1103579,영일만항분리항로등부표(랜비),"풍향, 풍속, 수온, 기온, 습도, 유향",36.118167,129.439694,국립해양조사원_등대,영일만항 북방파제북단,Yeongilman Hang,True,매칭완료
110,포항청,994403582,도동등대,"풍향, 풍속, 기온, 습도, 기압",37.487,130.919417,국립해양조사원_등대,도동 등대,Dodong,True,매칭완료
111,동해청,1119808,동해항남방파제등대,"풍향, 풍속, 기온, 습도, 기압, 시정",37.496222,129.144361,국립해양조사원_등대,동해항 남방파제,Donghae Hang,True,매칭완료
111,동해청,994403807,임원항방파제등대,"풍향, 풍속, 기온, 습도, 기압, 시정",37.224867,129.345166,국립해양조사원_등대,임원항 방파제,Imwon Hang,True,매칭완료
111,동해청,994403810,주문진항동방파제등대,"풍향, 풍속, 기온, 습도, 기압, 시정",37.885889,128.834722,국립해양조사원_등대,주문진항 동방파제,Jumunjin Hang,True,매칭완료
112,제주단,994403894,김녕항서방파제등대,"풍향, 풍속, 기온, 습도, 기압",33.561056,126.740861,국립해양조사원_등대,김녕항 서방파제,Gimyeong Hang,True,매칭완료
112,제주단,994403895,방서등대,"풍향, 풍속, 기온, 습도, 기압",33.920753,126.399501,국립해양조사원_등대,방서,Bangseo,True,매칭완료
112,제주단,994403896,개민포등대,"풍향, 풍속, 기온, 습도, 기압",33.320306,126.847222,국립해양조사원_등대,개민포,Gaeminpo,True,매칭완료
112,제주단,994403901,종뢰등표,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
113,진도소,1139001,하조도등대,"풍향, 풍속, 기온, 습도, 기압",34.311041,126.087785,국립해양조사원_등대,하조도,Hajodo,True,매칭완료
113,진도소,1139002,아롱도등대,"풍향, 풍속, 기온, 습도, 기압",,,,,제공 자료 기준 자동 매칭 실패,False,추가 원본 필요
113,진도소,1139006,횡간도등대,"풍향, 풍속, 기온, 습도, 기압",34.250611,126.612722,국립해양조사원_등대,횡간도,Hoenggando,True,매칭완료
113,진도소,1139007,완도항 유도등부표,"풍향, 풍속, 수온, 기온, 습도, 기압, 유향, 유속",34.319769,126.77257,국립해양조사원_등대,완도항 남방파제,Wando Hang,True,매칭완료
